Businessname,Phonenumber,Website,Googlemapsscore,Emailaddress,Instagramlink,Facebooklink,Linkedinlink
ISP Group AG,+41 43 499 14 10,https://ispgroup.com/en,4.8,,,,
Lombard Odier Asset Management,+41 44 214 11 11,https://www.lombardodier.com/,,,https://www.instagram.com/p/DUbBN2yD7P8/,https://www.facebook.com/lombardodier,https://www.linkedin.com/feed/update/urn:li:ugcPost:7424446401306087424
Wealth Management Zürich AG,+41 43 300 55 55,https://www.wmzuerich.ch/,5.0,info@wmzuerich.ch,,,
Sonnenberg Wealth Management,+41 58 680 59 00,https://sonnenberg-ag.ch/,4.6,info@sonnenberg-ag.ch,,,https://linkedin.com/company/sonnenberg-wealth-management-ag/
Trustinance AG,,http://www.trustinance.ch/,5.0,info@www.trusti,,,
Invest-Partners Wealth Management AG,+41 44 202 16 82,https://www.invest-partners.ch/,4.5,m%61%72%69o.pfiffner@inves%74-%70art%6eers.%63h,,,https://www.linkedin.com/in/mario-pfiffner-7b4308198/
ZWEI Wealth,+41 43 299 22 22,https://welcome.zwei-wealth.ch/transparenz-portal,4.7,info@zwei-wealth.com,,,
Caputo & Partners AG,+41 43 508 24 59,https://swiss-banking-lawyers.com/,5.0,,,,
Act Asset Management AG,+41 43 499 06 50,http://act-asset.ch/,5.0,info@act-asset.ch,,,
Konrad Zehnder Wealth Partners AG,+41 44 222 18 18,http://konradzehnder.com/,5.0,,,,https://www.linkedin.com/company/konrad-zehnder-wealth-partners-ag
Hinder Asset Management AG,+41 44 208 24 24,http://www.hinder-asset.ch/,5.0,info@hinder-asset.ch,,,
Swiss Life Wealth Managers,+41 43 547 45 50,https://www.swisslife-wealth.ch/,5.0,,,,
VT Wealth Management AG,+41 44 287 17 00,https://vtwealth.ch/,4.5,,,,
Kaiser Partner Financial Advisors AG,+41 44 752 51 11,https://kaiserpartner.financial/,5.0,info@kaiserpartner.com,,,
True Wealth AG,+41 44 508 70 17,https://www.truewealth.ch/,4.5,felix@truewealth.ch,https://www.instagram.com/truewealth_ch/,https://www.facebook.com/truewealthag/,https://www.linkedin.com/company/true-wealth/
Petiole Asset Management AG,+41 41 552 53 00,https://www.petiole.com/en?utm_campaign=pam-listing-swiss&utm_source=google&utm_medium=organic,5.0,info@petiole.com,https://instagram.com/petiole_am?igshid=NTdlMDg3MTY=,,https://www.linkedin.com/company/petiole-asset-management/
Everon AG,+41 44 545 08 10,https://everon.swiss/,4.8,,https://www.instagram.com/everon.swiss/,https://www.facebook.com/everon.swiss/,https://www.linkedin.com/company/everon-ag/
Avalor Investment AG,+41 43 443 83 83,http://www.avalor.ch/,5.0,info@avalor.ch,,,https://www.linkedin.com/company/avalor-investment-ag/
SABA Asset Management AG,+41 44 533 40 10,http://www.saba7am.com/,5.0,,,,
HSBC Global Asset Management (Switzerland) AG,+41 44 206 26 00,http://www.assetmanagement.hsbc.com/ch,4.8,,,,
Investera Capital AG,+41 44 591 88 01,https://www.investera-capital.com/,5.0,,,,https://www.linkedin.com/in/baraabitar/
Pilotage Private Wealth AG,+41 43 508 17 17,http://www.pilotage.group/,5.0,,,,
FINAD AG – Family Office,+41 44 209 70 10,http://www.finad.com/,4.9,,,,https://www.linkedin.com/company/finad/
Smart Wealth AG,+41 43 549 55 85,https://www.smartwealth.ch/,,support@smartwealth.ch,,,https://www.linkedin.com/company/18721600
Pictet Zurich,+41 58 323 77 77,https://www.pictet.com/ch/de,5.0,,https://www.instagram.com/pictetgroup/?hl=en,,https://www.linkedin.com/company/the-pictet-group
Fairway Asset Management SA,,https://www.fairway-asset.com/,5.0,info@fairway-asset.com,,,https://www.linkedin.com/company/fairway-asset-management-sa
Acies Asset Management AG,+41 44 868 41 11,http://www.acies-am.com/,5.0,,,,
